"fullcode","firstcode","secondcode","institutionfull","institution"
"UCF-UCFC","UCF","UCFC","The University of Central Florida Collection of Arthropods","The University of Central Florida Collection of Arthropods"
"UTEP-BCEC","UTEP","BCEC","The University of Texas at El Paso Biodiversity Collections Entomology collection","The University of Texas at El Paso Biodiversity Collections Entomology collection"
"TNHC-UTIC","TNHC","UTIC","The University of Texas Insect Collection","The University of Texas Insect Collection"
"AMNH-TTD","AMNH","TTD","Tri-Trophic TCN","Tri-Trophic TCN"
"UAM-ENTO","UAM","ENTO","UAM Insect Collection","UAM Insect Collection"
"USNM-USNMENT","USNM","USNMENT","United States National Museum, Entomology Collections","United States National Museum, Entomology Collections"
"UASM-UASM","UASM","UASM","University of Alberta Museums, E. H. Strickland Entomological Museum","University of Alberta Museums, E. H. Strickland Entomological Museum"
"UA-UAIC","UA","UAIC","University of Arizona Insect Collection","University of Arizona Insect Collection"
"UBC-UBCZ","UBC","UBCZ","University of British Columbia - Spencer Entomological Collection","University of British Columbia - Spencer Entomological Collection"
"UCRC-ENT","UCRC","ENT","University of California Riverside, Entomology Research Museum","University of California Riverside, Entomology Research Museum"
"UCSD-Bees","UCSD","Bees","University of California San Diego - Drought and Habitat Fragmentation on Native Bee Assemblages","University of California San Diego - Drought and Habitat Fragmentation on Native Bee Assemblages"
"UCSB-IZC","UCSB","IZC","University of California Santa Barbara Invertebrate Zoology Collection","University of California Santa Barbara Invertebrate Zoology Collection"
"UCR","UCR",NA,"University of California, Riverside","University of California, Riverside"
"UCFC-SMFCA","UCFC","SMFCA","University of Central Florida, Stuart M. Fullerton Collection of Arthropods","University of Central Florida, Stuart M. Fullerton Collection of Arthropods"
"UCM-UCMC","UCM","UCMC","University of Colorado Museum of Natural History Entomology Collection","University of Colorado Museum of Natural History Entomology Collection"
"UCMS","UCMS",NA,"University of Connecticut Museum","University of Connecticut Museum"
"UDCC","UDCC",NA,"University of Delaware Insect Research Collection","University of Delaware Insect Research Collection"
"UD-UDCC","UD","UDCC","University of Delaware Insect Research Collection","University of Delaware Insect Research Collection"
"UFIFAS-UFFE","UFIFAS","UFFE","University of Florida Forestry Entomology Collection","University of Florida Forestry Entomology Collection"
"GMNH-UGCA","GMNH","UGCA","University of Georgia Collection of Arthropods","University of Georgia Collection of Arthropods"
"GUAM-ESUG","GUAM","ESUG","University of Guam Insect Collection","University of Guam Insect Collection"
"DEBU-ENT","DEBU","ENT","University of Guelph Insect Collection","University of Guelph Insect Collection"
"UHIM-UHIM","UHIM","UHIM","University of Hawaii Insect Museum","University of Hawaii Insect Museum"
"WFBM","WFBM",NA,"University of Idaho, William F. Barr Entomological Museum","University of Idaho, William F. Barr Entomological Museum"
"KU-SEMC","KU","SEMC","University of Kansas Natural History Museum Entomology Division","University of Kansas Natural History Museum Entomology Division"
"KY-UKIC","KY","UKIC","University of Kentucky Insect Collection","University of Kentucky Insect Collection"
"UMAM","UMAM",NA,"University of Massachusetts Museum","University of Massachusetts Museum"
"UMMZ-UMMZI","UMMZ","UMMZI","University of Michigan Museum of Zoology, Division of Insects","University of Michigan Museum of Zoology, Division of Insects"
"MIN-UMSP","MIN","UMSP","University of Minnesota Insect Collection","University of Minnesota Insect Collection"
"HWML","HWML",NA,"University of Nebraska State Museum","University of Nebraska State Museum"
"UNSM-UNSM","UNSM","UNSM","University of Nebraska State Museum","University of Nebraska State Museum"
"UNR-ENTO","UNR","ENTO","University of Nevada, Reno, Museum of Natural History, Entomology Research Collection","University of Nevada, Reno, Museum of Natural History, Entomology Research Collection"
"UNHP","UNHP",NA,"University of New Hampshire","University of New Hampshire"
"UNHC-UNHC","UNHC","UNHC","University of New Hampshire Collection of Insects and Arthropods","University of New Hampshire"
"UND-UND-IC","UND","UND","University of North Dakota Insect Collection.","University of North Dakota Insect Collection."
"UPRM-INVCOL","UPRM","INVCOL","University of Puerto Rico Mayagüez Invertebrate Collection","University of Puerto Rico Mayagüez Invertebrate Collection"
"RED-REDA","RED","REDA","University of Redlands Arthropod Collection","University of Redlands Arthropod Collection"
"UTC-UTCI","UTC","UTCI","University of Tennessee at Chattanooga","University of Tennessee at Chattanooga"
"UVI-SOA-CES","UVI","SOA","University of the Virgin Islands, Cooperative Extension Service Arthropod Collection","University of the Virgin Islands, Cooperative Extension Service Arthropod Collection"
"UU-UUIC","UU","UUIC","University of Utah Invertebrates Collection","University of Utah Invertebrates Collection"
"UVM-VTZT","UVM","VTZT","University of Vermont Zadock Thompson Zoological Collection-Invertebrates","University of Vermont Zadock Thompson Zoological Collection-Invertebrates"
"UWOC-UWOC","UWOC","UWOC","University of Western Ontario Collection","University of Western Ontario Collection"
"UWSP-PARA","UWSP","PARA","University of Wisconsin-Stevens Point","University of Wisconsin-Stevens Point"
"UWYMED-ENT","UWYMED","ENT","University of Wyoming Dillon Lab Insect Collection","University of Wyoming Dillon Lab Insect Collection"
"UDAF-UDAFE","UDAF","UDAFE","Utah Department of Agriculture and Food Entomology Collection","Utah Department of Agriculture and Food Entomology Collection"
"VecB-Aggregate","VecB","Aggregate","VectorBase (Bioinformatics Resource for Invertebrate Vectors of Human Pathogens)","VectorBase (Bioinformatics Resource for Invertebrate Vectors of Human Pathogens)"
"VCE-VAL","VCE","VAL","Vermont Atlas of Life","Vermont Atlas of Life"
"VTST","VTST",NA,"Vermont State Bee Database","Vermont State Bee Database"
"BIG4-VSIC","BIG4","VSIC","Viktor Senderov Insect Collection","Viktor Senderov Insect Collection"
"VPI-VTEC","VPI","VTEC","Virginia Polytechnic Institute and State University Insect Collection","Virginia Polytechnic Institute and State University Insect Collection"
"WSU-WSUC","WSU","WSUC","Washington State University Collection","Washington State University Collection"
"WVW-ENT","WVW","ENT","West Virginia Wesleyan College Katharine B. Gregg Orchid Pollinator Collection","West Virginia Wesleyan College Katharine B. Gregg Orchid Pollinator Collection"
"WWU-WWUC","WWU","WWUC","Western Washington University Insect Collection","Western Washington University Insect Collection"
"WICH-WICHI","WICH","WICHI","Wichita State University Collection","Wichita State University Collection"
"UI-WFBM","UI","WFBM","William F. Barr Entomological Museum","William F. Barr Entomological Museum"
"UWM-WIRC","UWM","WIRC","Wisconsin Insect Research Collection","Wisconsin Insect Research Collection"
"WWD-WWD","WWD","WWD","World Weevil Database","World Weevil Database"
"Xerces-BOMB","Xerces","BOMB","Xerces Society - Bumble Bee Watch","Xerces Society - Bumble Bee Watch"
"YPM-ENT","YPM","ENT","Yale Peabody Museum, Entomology Division","Yale Peabody Museum, Entomology Division"
"UVM-UCC","UVM","UCC","Zadock Thompson Zoological Collections - Caribbean Island Biogeography (CARBIO) Arachnid Collection","Zadock Thompson Zoological Collections - Caribbean Island Biogeography (CARBIO) Arachnid Collection"
