family	genus	specificEpithet	infraSpecificEpithet	ScientificName
Boraginaceae				Tournefortia rufo-sericea
Boraginaceae				Varronia scouleri
Brassicaceae	Arabis	glabra		Arabis glabra
Brassicaceae	Arabis	maxima	hoffmannii	Arabis maxima var. hoffmannii
Brassicaceae	Athysanus	pusillus		Athysanus pusillus
Brassicaceae	Brassica			Brassica
Brassicaceae	Brassica	geniculata		Brassica geniculata
Brassicaceae	Brassica	juncea		Brassica juncea
Brassicaceae	Brassica	kaber		Brassica kaber
Brassicaceae	Brassica	nigra		Brassica nigra
Brassicaceae	Brassica	rapa		Brassica rapa
Brassicaceae	Brassica	rapa	rapa	Brassica rapa var. rapa
Brassicaceae	Cakile	maritima		Cakile maritima
Brassicaceae	Cakile	maritima	maritima	Cakile maritima subsp. maritima
Brassicaceae	Capsella	bursa-pastoris		Capsella bursa-pastoris
Brassicaceae	Cardamine	californica		Cardamine californica
Brassicaceae	Cardamine	californica	californica	Cardamine californica var. californica
Brassicaceae	Cardamine	californica	integrifolia	Cardamine californica var. integrifolia
Brassicaceae	Cardamine	oligosperma		Cardamine oligosperma
Brassicaceae	Cardaria			Cardaria
Brassicaceae	Cardaria	draba		Cardaria draba
Brassicaceae				Cardaria glabra
Brassicaceae	Caulanthus	inflatus		Caulanthus inflatus
Brassicaceae	Caulanthus	lasiophyllus		Caulanthus lasiophyllus
Brassicaceae	Dentaria	californica		Dentaria californica
Brassicaceae	Dentaria	integrifolia	californica	Dentaria integrifolia var. californica
Brassicaceae	Descurainia	pinnata		Descurainia pinnata
Brassicaceae	Descurainia	pinnata	brachycarpa	Descurainia pinnata subsp. brachycarpa
Brassicaceae	Descurainia	pinnata	menziesii	Descurainia pinnata subsp. menziesii
Brassicaceae	Draba	cuneifolia		Draba cuneifolia
Brassicaceae	Erysimum	insulare		Erysimum insulare
Brassicaceae	Guillenia	lasiophylla		Guillenia lasiophylla
Brassicaceae	Hirschfeldia	incana		Hirschfeldia incana
Brassicaceae	Hornungia	procumbens		Hornungia procumbens
Brassicaceae	Hutchinsia	procumbens		Hutchinsia procumbens
Brassicaceae	Lepidium	draba		Lepidium draba
Brassicaceae	Lepidium	draba	draba	Lepidium draba subsp. draba
Brassicaceae	Lepidium	lasiocarpum		Lepidium lasiocarpum
Brassicaceae	Lepidium	latipes		Lepidium latipes
Brassicaceae	Lepidium	latipes	latipes	Lepidium latipes var. latipes
Brassicaceae	Lepidium	nitidum		Lepidium nitidum
Brassicaceae	Lepidium	nitidum	nitidum	Lepidium nitidum var. nitidum
Brassicaceae	Lepidium	oblongum		Lepidium oblongum
Brassicaceae	Lepidium	oblongum	insulare	Lepidium oblongum var. insulare
Brassicaceae	Lepidium	oblongum	oblongum	Lepidium oblongum var. oblongum
Brassicaceae	Lepidium	strictum		Lepidium strictum
Brassicaceae	Lepidium	virginicum		Lepidium virginicum
Brassicaceae	Lepidium	virginicum	menziesii	Lepidium virginicum var. menziesii
Brassicaceae	Lepidium	virginicum	robinsonii	Lepidium virginicum var. robinsonii
Brassicaceae	Nasturtium	officinale		Nasturtium officinale
Brassicaceae	Raphanus			Raphanus
Brassicaceae	Raphanus	raphanistrum		Raphanus raphanistrum
Brassicaceae	Raphanus	sativus		Raphanus sativus
Brassicaceae				Raphanus sativus x Raphanus raphanistrum
Brassicaceae	Sinapis	arvensis		Sinapis arvensis
Brassicaceae	Sisymbrium	officinale		Sisymbrium officinale
Brassicaceae	Thelypodium	lasiophyllum		Thelypodium lasiophyllum
Brassicaceae				Thelypodium lasiophyllum var. lasiophyllum
Brassicaceae	Thysanocarpus			Thysanocarpus
Brassicaceae	Thysanocarpus	curvipes		Thysanocarpus curvipes
Brassicaceae	Thysanocarpus	curvipes	amplectens	Thysanocarpus curvipes subsp. amplectens
Brassicaceae	Thysanocarpus	curvipes	curvipes	Thysanocarpus curvipes subsp. curvipes
Brassicaceae	Thysanocarpus	curvipes	elegans	Thysanocarpus curvipes subsp. elegans
Brassicaceae				Thysanocarpus curvipes var. curvipes
Brassicaceae	Thysanocarpus	laciniatus	crenatus	Thysanocarpus laciniatus var. crenatus
Brassicaceae	Thysanocarpus	laciniatus	laciniatus	Thysanocarpus laciniatus var. laciniatus
Brassicaceae	Thysanocarpus	laciniatus	ramosus	Thysanocarpus laciniatus var. ramosus
Brassicaceae	Turritis	glabra		Turritis glabra
Burseraceae				Bursera graveolens
Burseraceae				Bursera hindsiana
Cactaceae	Cylindropuntia	alcahes	alcahes	Cylindropuntia alcahes var. alcahes
Cactaceae	Cylindropuntia	prolifera		Cylindropuntia prolifera
Cactaceae				Cylindropuntia waltoniorum
Cactaceae	Echinocereus	brandegeei		Echinocereus brandegeei
Cactaceae	Ferocactus	diguetii		Ferocactus diguetii
Cactaceae				Ferocactus diguetii var. diguetii
Cactaceae				Neomammillaria albicans
Cactaceae	Opuntia	ficus-indica		Opuntia ficus-indica
Cactaceae	Opuntia	littoralis		Opuntia littoralis
Cactaceae	Opuntia	oricola		Opuntia oricola
Cactaceae	Opuntia	prolifera		Opuntia prolifera
Campanulaceae	Githopsis	diffusa	diffusa	Githopsis diffusa subsp. diffusa
Campanulaceae	Lobelia	erinus		Lobelia erinus
Campanulaceae	Triodanis	biflora		Triodanis biflora
Cannabaceae	Cannabis	sativa		Cannabis sativa
Caprifoliaceae	Centranthus	ruber		Centranthus ruber
Caprifoliaceae	Kentranthus	ruber		Kentranthus ruber
Caprifoliaceae	Lonicera	hispidula		Lonicera hispidula
Caprifoliaceae	Lonicera	hispidula	vacillans	Lonicera hispidula var. vacillans
Caprifoliaceae	Lonicera	interrupta		Lonicera interrupta
Caprifoliaceae	Lonicera	subspicata		Lonicera subspicata
Caprifoliaceae	Lonicera	subspicata	denudata	Lonicera subspicata var. denudata
Caprifoliaceae	Lonicera	subspicata	johnstonii	Lonicera subspicata var. johnstonii
Caprifoliaceae	Lonicera	subspicata	subspicata	Lonicera subspicata var. subspicata
Caprifoliaceae	Plectritis	ciliosa		Plectritis ciliosa
Caprifoliaceae	Sambucus	nigra	caerulea	Sambucus nigra subsp. caerulea
Caprifoliaceae	Symphoricarpos			Symphoricarpos
Caprifoliaceae	Symphoricarpos	mollis		Symphoricarpos mollis
Caryophyllaceae	Arenaria	congesta		Arenaria congesta
Caryophyllaceae	Arenaria	douglasii		Arenaria douglasii
Caryophyllaceae	Cardionema			Cardionema
Caryophyllaceae				Cardionema ramosissima
Caryophyllaceae	Cardionema	ramosissimum		Cardionema ramosissimum
Caryophyllaceae	Cerastium			Cerastium
Caryophyllaceae	Cerastium	arvense		Cerastium arvense
Caryophyllaceae	Cerastium	glomeratum		Cerastium glomeratum
Caryophyllaceae	Minuartia			Minuartia
Caryophyllaceae	Minuartia	douglasii		Minuartia douglasii
Caryophyllaceae	Polycarpon	depressum		Polycarpon depressum
Caryophyllaceae	Polycarpon	tetraphyllum		Polycarpon tetraphyllum
Caryophyllaceae	Polycarpon	tetraphyllum	tetraphyllum	Polycarpon tetraphyllum subsp. tetraphyllum
Caryophyllaceae				Polycarpon tetraphyllum var. tetraphyllum
Caryophyllaceae	Sagina			Sagina
Caryophyllaceae	Sagina	apetala		Sagina apetala
Caryophyllaceae	Sagina	decumbens		Sagina decumbens
Caryophyllaceae	Sagina	decumbens	occidentalis	Sagina decumbens subsp. occidentalis
Caryophyllaceae	Sagina	occidentalis		Sagina occidentalis
Caryophyllaceae	Silene			Silene
Caryophyllaceae	Silene	antirrhina		Silene antirrhina
Caryophyllaceae	Silene	gallica		Silene gallica
Caryophyllaceae	Silene	laciniata		Silene laciniata
Caryophyllaceae	Silene	laciniata	laciniata	Silene laciniata subsp. laciniata
Caryophyllaceae	Silene	laciniata	major	Silene laciniata subsp. major
Caryophyllaceae	Silene	multinervia		Silene multinervia
Caryophyllaceae	Spergularia			Spergularia
Caryophyllaceae				Spergularia bocconei
Caryophyllaceae	Spergularia	bocconi		Spergularia bocconi
Caryophyllaceae	Spergularia	bocconii		Spergularia bocconii
Caryophyllaceae	Spergularia	macrotheca		Spergularia macrotheca
Caryophyllaceae	Spergularia	macrotheca	macrotheca	Spergularia macrotheca var. macrotheca
Caryophyllaceae	Spergularia	marina		Spergularia marina
Caryophyllaceae	Spergularia	platensis		Spergularia platensis
Caryophyllaceae	Spergularia	rubra		Spergularia rubra
Caryophyllaceae	Spergularia	salina		Spergularia salina
Caryophyllaceae	Spergularia	villosa		Spergularia villosa
Caryophyllaceae	Stellaria	media		Stellaria media
Caryophyllaceae	Stellaria	neglecta		Stellaria neglecta
Caryophyllaceae	Stellaria	nitens		Stellaria nitens
Caryophyllaceae	Stellaria	pallida		Stellaria pallida
Caryophyllaceae				Tissa valida
Celastraceae				Maytenus octogona
Chenopodiaceae				Arthroceras subterminale
Chenopodiaceae	Atriplex			Atriplex
Chenopodiaceae	Atriplex	argentea	expansa	Atriplex argentea var. expansa
Chenopodiaceae	Atriplex	barclayana		Atriplex barclayana
Chenopodiaceae	Atriplex	lentiformis		Atriplex lentiformis
Chenopodiaceae	Atriplex	lentiformis	breweri	Atriplex lentiformis subsp. breweri
Chenopodiaceae	Atriplex	leucophylla		Atriplex leucophylla
Chenopodiaceae	Atriplex	prostrata		Atriplex prostrata
Chenopodiaceae	Atriplex	semibaccata		Atriplex semibaccata
Chenopodiaceae	Atriplex	serenana	serenana	Atriplex serenana var. serenana
Chenopodiaceae	Atriplex	triangularis		Atriplex triangularis
Chenopodiaceae	Atriplex	watsonii		Atriplex watsonii
Chenopodiaceae	Beta	macrocarpa		Beta macrocarpa
Chenopodiaceae	Beta	vulgaris		Beta vulgaris
Chenopodiaceae				Blitum californicum
Chenopodiaceae	Chenopodium	album		Chenopodium album
Chenopodiaceae	Chenopodium	berlandieri		Chenopodium berlandieri
Chenopodiaceae				Chenopodium berlandieri subsp. sinuatum
Chenopodiaceae	Chenopodium	berlandieri	sinuatum	Chenopodium berlandieri var. sinuatum
Chenopodiaceae	Chenopodium	californicum		Chenopodium californicum
Chenopodiaceae	Chenopodium	murale		Chenopodium murale
Chenopodiaceae	Dysphania	ambrosioides		Dysphania ambrosioides
Chenopodiaceae	Extriplex	californica		Extriplex californica
Chenopodiaceae	Salicornia	pacifica		Salicornia pacifica
Chenopodiaceae	Salsola	australis		Salsola australis
Chenopodiaceae	Salsola	tragus		Salsola tragus
Chenopodiaceae	Suaeda	californica		Suaeda californica
Chenopodiaceae	Suaeda	taxifolia		Suaeda taxifolia
CHN	Chenopodium	californicum		Chenopodium californicum
Cistaceae				Crocanthemum scoparium
Cistaceae				Crocanthemum scoparium var. scoparium
Cistaceae				Crocanthemum scoparium var. vulgare
Cistaceae	Helianthemum	scoparium		Helianthemum scoparium
Cistaceae				Helianthemum scoparium var. scoparium
Cistaceae	Helianthemum	scoparium	vulgare	Helianthemum scoparium var. vulgare
CMP	Ambrosia	chamissonis		Ambrosia chamissonis
CMP	Baccharis	plummerae		Baccharis plummerae
CMP	Centaurea	solstitialis		Centaurea solstitialis
CMP	Hazardia	cana		Hazardia cana
CMP	Layia	platyglossa		Layia platyglossa
CMP	Perityle	emoryi		Perityle emoryi
CNV	Calystegia	macrostegia	macrostegia	Calystegia macrostegia subsp. macrostegia
Convolvulaceae	Calystegia	macrostegia		Calystegia macrostegia
Convolvulaceae	Calystegia	macrostegia	amplissima	Calystegia macrostegia subsp. amplissima
Convolvulaceae	Calystegia	macrostegia	cyclostegia	Calystegia macrostegia subsp. cyclostegia
Convolvulaceae	Calystegia	macrostegia	macrostegia	Calystegia macrostegia subsp. macrostegia
Convolvulaceae	Calystegia	soldanella		Calystegia soldanella
Convolvulaceae	Convolvulus			Convolvulus
Convolvulaceae	Convolvulus	arvensis		Convolvulus arvensis
Convolvulaceae	Convolvulus	simulans		Convolvulus simulans
Convolvulaceae	Cressa	truxillensis		Cressa truxillensis
Convolvulaceae	Cuscuta			Cuscuta
Convolvulaceae	Cuscuta	californica		Cuscuta californica
Convolvulaceae	Cuscuta	ceanothi		Cuscuta ceanothi
Convolvulaceae				Cuscuta pacifica
Convolvulaceae				Cuscuta pacifica var. pacifica
Convolvulaceae	Cuscuta	salina		Cuscuta salina
Convolvulaceae	Cuscuta	salina	salina	Cuscuta salina var. salina
Convolvulaceae	Cuscuta	subinclusa		Cuscuta subinclusa
Convolvulaceae	Dichondra			Dichondra
Convolvulaceae	Dichondra	occidentalis		Dichondra occidentalis
Convolvulaceae				Jacquemontia eastwoodiana
Crassulaceae	Crassula	connata		Crassula connata
Crassulaceae	Crassula	connata	erectoides	Crassula connata var. erectoides
Crassulaceae	Crassula	erecta		Crassula erecta
Crassulaceae				Dudleya blochmaniae subsp. blochmaniae ? D. greenei
Crassulaceae	Dudleya	cespitosa		Dudleya cespitosa
Crassulaceae				Hasseanthus nesioticus
Cucurbitaceae	Cucurbita	foetidissima		Cucurbita foetidissima
Cucurbitaceae				Echinocystis macrocarpa
Cucurbitaceae	Marah			Marah
Cucurbitaceae	Marah	fabacea		Marah fabacea
Cucurbitaceae	Marah	fabaceus		Marah fabaceus
Cucurbitaceae	Marah	fabaceus	agrestis	Marah fabaceus var. agrestis
Cucurbitaceae	Marah	guadalupensis		Marah guadalupensis
Cucurbitaceae	Marah	macrocarpa		Marah macrocarpa
Cucurbitaceae	Marah	macrocarpa	major	Marah macrocarpa var. major
Cucurbitaceae	Marah	macrocarpus		Marah macrocarpus
Cucurbitaceae	Marah	macrocarpus	major	Marah macrocarpus var. major
Cucurbitaceae				Vaseyanthus brandegeei
Cucurbitaceae				Vaseyanthus insularis
Cupressaceae	Cupressus	macrocarpa		Cupressus macrocarpa
Cupressaceae				Hesperocyparis macrocarpa
Cyperaceae	Bolboschoenus	maritimus		Bolboschoenus maritimus
Cyperaceae	Bolboschoenus	maritimus	paludosus	Bolboschoenus maritimus subsp. paludosus
Cyperaceae	Carex			Carex
Cyperaceae	Carex	barbarae		Carex barbarae
Cyperaceae	Carex	globosa		Carex globosa
Cyperaceae	Carex	gracilior		Carex gracilior
Cyperaceae	Carex	harfordii		Carex harfordii
Cyperaceae	Carex	praegracilis		Carex praegracilis
Cyperaceae	Carex	schottii		Carex schottii
Cyperaceae	Carex	senta		Carex senta
Cyperaceae	Carex	subbracteata		Carex subbracteata
Cyperaceae				Carex subbracteata subsp. subbracteata
Cyperaceae	Carex	subfusca		Carex subfusca
Cyperaceae	Carex	triquetra		Carex triquetra
Cyperaceae	Carex	tumulicola		Carex tumulicola
Cyperaceae	Cyperus			Cyperus
Cyperaceae	Cyperus	alternifolius		Cyperus alternifolius
Cyperaceae	Cyperus	eragrostis		Cyperus eragrostis
Cyperaceae	Cyperus	odoratus		Cyperus odoratus
Cyperaceae	Schoenoplectus	californicus		Schoenoplectus californicus
Cyperaceae	Schoenoplectus	maritimus		Schoenoplectus maritimus
Cyperaceae	Schoenoplectus	pungens		Schoenoplectus pungens
Cyperaceae	Schoenoplectus	pungens	badius	Schoenoplectus pungens var. badius
Cyperaceae	Scirpus			Scirpus
Cyperaceae	Scirpus	californicus		Scirpus californicus
Cyperaceae	Scirpus	maritimus		Scirpus maritimus
Dennstaedtiaceae	Pteridium	aquilinum		Pteridium aquilinum
Dennstaedtiaceae	Pteridium	aquilinum	pubescens	Pteridium aquilinum var. pubescens
DRY	Dryopteris	arguta		Dryopteris arguta
Dryopteridaceae	Athyrium	filix-femina		Athyrium filix-femina
Dryopteridaceae	Athyrium	filix-femina	cyclosorum	Athyrium filix-femina var. cyclosorum
Dryopteridaceae	Athyrium	filix-femina	sitchense	Athyrium filix-femina var. sitchense
Dryopteridaceae	Cystopteris	fragilis		Cystopteris fragilis
Dryopteridaceae	Dryopteris	arguta		Dryopteris arguta
Dryopteridaceae	Polystichum	munitum		Polystichum munitum
Dryopteridaceae				Polystichum munitum var. munitum
Equisetaceae	Equisetum	hyemale	affine	Equisetum hyemale subsp. affine
Equisetaceae	Equisetum	hyemale	affine	Equisetum hyemale var. affine
Equisetaceae	Equisetum	laevigatum		Equisetum laevigatum
Equisetaceae	Equisetum	telmateia		Equisetum telmateia
Equisetaceae	Equisetum	telmateia	braunii	Equisetum telmateia subsp. braunii
Equisetaceae	Equisetum	telmateia	braunii	Equisetum telmateia var. braunii
ERI	Comarostaphylis	diversifolia	planifolia	Comarostaphylis diversifolia subsp. planifolia
Ericaceae	Arbutus	menziesii		Arbutus menziesii
Ericaceae	Arctostaphylos			Arctostaphylos
Ericaceae	Arctostaphylos	catalinae		Arctostaphylos catalinae
Ericaceae	Arctostaphylos	crustacea		Arctostaphylos crustacea
Ericaceae	Arctostaphylos	crustacea	crustacea	Arctostaphylos crustacea subsp. crustacea
Ericaceae	Arctostaphylos	crustacea	insulicola	Arctostaphylos crustacea subsp. insulicola
Ericaceae	Arctostaphylos	crustacea	subcordata	Arctostaphylos crustacea subsp. subcordata
Ericaceae	Arctostaphylos	glandulosa	glandulosa	Arctostaphylos glandulosa subsp. glandulosa
Ericaceae	Arctostaphylos	insularis		Arctostaphylos insularis
Ericaceae				Arctostaphylos insularis f. pubescens
Ericaceae	Arctostaphylos	insularis	pubescens	Arctostaphylos insularis var. pubescens
Ericaceae				Arctostaphylos insularis x tomentosa
Ericaceae	Arctostaphylos	pechoensis	viridissima	Arctostaphylos pechoensis var. viridissima
Ericaceae	Arctostaphylos	subcordata		Arctostaphylos subcordata
Ericaceae	Arctostaphylos	tomentosa		Arctostaphylos tomentosa
Ericaceae	Arctostaphylos	tomentosa	crinita	Arctostaphylos tomentosa subsp. crinita
Ericaceae	Arctostaphylos	tomentosa	insulicola	Arctostaphylos tomentosa subsp. insulicola
Ericaceae	Arctostaphylos	tomentosa	subcordata	Arctostaphylos tomentosa subsp. subcordata
Ericaceae	Arctostaphylos	tomentosa	tomentosa	Arctostaphylos tomentosa subsp. tomentosa
Ericaceae				Arctostaphylos tomentosa x viridissima
Ericaceae	Arctostaphylos	viridissima		Arctostaphylos viridissima
Ericaceae	Comarostaphylis	diversifolia		Comarostaphylis diversifolia
Ericaceae	Comarostaphylis	diversifolia	diversifolia	Comarostaphylis diversifolia subsp. diversifolia
Ericaceae	Comarostaphylis	diversifolia	planifolia	Comarostaphylis diversifolia subsp. planifolia
Ericaceae	Comarostaphylis	diversifolia	planifolia	Comarostaphylis diversifolia var. planifolia
Ericaceae	Vaccinium	ovatum		Vaccinium ovatum
EUP	Croton	setigerus		Croton setigerus
Euphorbiaceae	Acalypha	californica		Acalypha californica
Euphorbiaceae	Bernardia	viridis		Bernardia viridis
Euphorbiaceae	Chamaesyce	maculata		Chamaesyce maculata
Euphorbiaceae				Cnidoscolus palmeri
Euphorbiaceae	Croton	setiger		Croton setiger
Euphorbiaceae	Croton	setigerus		Croton setigerus
Euphorbiaceae	Ditaxis	lanceolata		Ditaxis lanceolata
Euphorbiaceae	Eremocarpus	setiger		Eremocarpus setiger
Euphorbiaceae	Eremocarpus	setigerus		Eremocarpus setigerus
Euphorbiaceae	Euphorbia			Euphorbia
Euphorbiaceae	Euphorbia	lomelii		Euphorbia lomelii
Euphorbiaceae	Euphorbia	maculata		Euphorbia maculata
Euphorbiaceae	Euphorbia	misella		Euphorbia misella
Euphorbiaceae	Euphorbia	misera		Euphorbia misera
Euphorbiaceae	Euphorbia	peplus		Euphorbia peplus
Euphorbiaceae	Euphorbia	polycarpa		Euphorbia polycarpa
Euphorbiaceae	Euphorbia	spathulata		Euphorbia spathulata
Euphorbiaceae	Jatropha	cinerea		Jatropha cinerea
Euphorbiaceae	Jatropha	cuneata		Jatropha cuneata
Euphorbiaceae	Stillingia	linearifolia		Stillingia linearifolia
Fabaceae	Acacia			Acacia
Fabaceae	Acacia	baileyana		Acacia baileyana
Fabaceae	Acacia	dealbata		Acacia dealbata
Fabaceae	Acacia	decurrens		Acacia decurrens
Fabaceae	Acacia	mearnsii		Acacia mearnsii
Fabaceae	Acacia	melanoxylon		Acacia melanoxylon
Fabaceae				Acaciella goldmanii
Fabaceae	Acmispon			Acmispon
Fabaceae	Acmispon	americanus		Acmispon americanus
Fabaceae	Acmispon	americanus	americanus	Acmispon americanus var. americanus
Fabaceae	Acmispon	argophyllus		Acmispon argophyllus
Fabaceae	Acmispon	argophyllus	argophyllus	Acmispon argophyllus var. argophyllus
Fabaceae	Acmispon	argophyllus	fremontii	Acmispon argophyllus var. fremontii
Fabaceae	Acmispon	argophyllus	niveus	Acmispon argophyllus var. niveus
Fabaceae				Acmispon brachycarpus
Fabaceae	Acmispon	dendroideus		Acmispon dendroideus
Fabaceae	Acmispon	dendroideus	dendroideus	Acmispon dendroideus var. dendroideus
Fabaceae	Acmispon	dendroideus	veatchii	Acmispon dendroideus var. veatchii
Fabaceae				Acmispon glaber
Fabaceae				Acmispon glaber var. glaber
Fabaceae	Acmispon	grandiflorus		Acmispon grandiflorus
Fabaceae	Acmispon	grandiflorus	grandiflorus	Acmispon grandiflorus var. grandiflorus
Fabaceae	Acmispon	maritimus		Acmispon maritimus
Fabaceae	Acmispon	maritimus	maritimus	Acmispon maritimus var. maritimus
Fabaceae	Acmispon	micranthus		Acmispon micranthus
Fabaceae	Acmispon	parviflorus		Acmispon parviflorus
Fabaceae	Acmispon	strigosus		Acmispon strigosus
Fabaceae	Acmispon	wrangelianus		Acmispon wrangelianus
Fabaceae	Albizia	distachya		Albizia distachya
Fabaceae	Albizia	lophantha		Albizia lophantha
Fabaceae	Astragalus			Astragalus
Fabaceae	Astragalus	didymocarpus		Astragalus didymocarpus
Fabaceae	Astragalus	didymocarpus	didymocarpus	Astragalus didymocarpus var. didymocarpus
Fabaceae	Astragalus	gambelianus		Astragalus gambelianus
Fabaceae	Astragalus	lentiginosus		Astragalus lentiginosus
Fabaceae	Astragalus	miguelensis		Astragalus miguelensis
Fabaceae	Astragalus	trichopodus		Astragalus trichopodus
Fabaceae	Astragalus	trichopodus	leucopsis	Astragalus trichopodus subsp. leucopsis
Fabaceae	Astragalus	trichopodus	lonchus	Astragalus trichopodus var. lonchus
Fabaceae	Astragalus	trichopodus	trichopodus	Astragalus trichopodus var. trichopodus
Fabaceae				Cercidium floridum subsp. peninsulare
Fabaceae	Ebenopsis	confinis		Ebenopsis confinis
Fabaceae	Genista	monspessulana		Genista monspessulana
Fabaceae	Lathyrus			Lathyrus
Fabaceae	Lathyrus	laetiflorus	barbarae	Lathyrus laetiflorus subsp. barbarae
Fabaceae	Lathyrus	vestitus		Lathyrus vestitus
Fabaceae	Lathyrus	vestitus	laetiflorus	Lathyrus vestitus subsp. laetiflorus
Fabaceae	Lathyrus	vestitus	puberulus	Lathyrus vestitus subsp. puberulus
Fabaceae	Lathyrus	vestitus	vestitus	Lathyrus vestitus subsp. vestitus
Fabaceae	Lathyrus	vestitus	alefeldii	Lathyrus vestitus var. alefeldii
Fabaceae	Lathyrus	vestitus	vestitus	Lathyrus vestitus var. vestitus
Fabaceae	Lotus			Lotus
Fabaceae	Lotus	argophyllus		Lotus argophyllus
Fabaceae	Lotus	argophyllus	niveus	Lotus argophyllus subsp. niveus
Fabaceae	Lotus	argophyllus	ornithopus	Lotus argophyllus subsp. ornithopus
Fabaceae	Lotus	argophyllus	niveus	Lotus argophyllus var. niveus
Fabaceae	Lotus	corniculatus		Lotus corniculatus
Fabaceae	Lotus	dendroideus		Lotus dendroideus
Fabaceae	Lotus	dendroideus	dendroideus	Lotus dendroideus var. dendroideus
Fabaceae	Lotus	grandiflorus		Lotus grandiflorus
Fabaceae	Lotus	grandiflorus	grandiflorus	Lotus grandiflorus var. grandiflorus
Fabaceae	Lotus	hamatus		Lotus hamatus
Fabaceae	Lotus	micranthus		Lotus micranthus
Fabaceae				Lotus purshianus var. purshianus
Fabaceae	Lotus	salsuginosus		Lotus salsuginosus
Fabaceae	Lotus	salsuginosus	salsuginosus	Lotus salsuginosus var. salsuginosus
Fabaceae	Lotus	scoparius		Lotus scoparius
Fabaceae				Lotus scoparius subsp. scoparius
Fabaceae	Lotus	scoparius	dendroideus	Lotus scoparius var. dendroideus
Fabaceae	Lotus	scoparius	scoparius	Lotus scoparius var. scoparius
Fabaceae	Lotus	strigosus		Lotus strigosus
Fabaceae	Lotus	strigosus	strigosus	Lotus strigosus var. strigosus
Fabaceae	Lotus	subpinnatus		Lotus subpinnatus
Fabaceae	Lotus	unifoliolatus		Lotus unifoliolatus
Fabaceae	Lotus	wrangelianus		Lotus wrangelianus
Fabaceae	Lupinus			Lupinus
Fabaceae	Lupinus	agardhianus		Lupinus agardhianus
Fabaceae	Lupinus	albifrons		Lupinus albifrons
Fabaceae	Lupinus	albifrons	albifrons	Lupinus albifrons var. albifrons
Fabaceae	Lupinus	albifrons	douglasii	Lupinus albifrons var. douglasii
Fabaceae	Lupinus	arboreus		Lupinus arboreus
Fabaceae	Lupinus	bicolor		Lupinus bicolor
Fabaceae	Lupinus	bicolor	bicolor	Lupinus bicolor subsp. bicolor
Fabaceae	Lupinus	bicolor	microphyllus	Lupinus bicolor subsp. microphyllus
Fabaceae	Lupinus	bicolor	tridentatus	Lupinus bicolor subsp. tridentatus
Fabaceae	Lupinus	bicolor	umbellatus	Lupinus bicolor subsp. umbellatus
Fabaceae	Lupinus	bicolor	umbellatus	Lupinus bicolor var. umbellatus
Fabaceae	Lupinus	chamissonis		Lupinus chamissonis
Fabaceae	Lupinus	concinnus		Lupinus concinnus
Fabaceae	Lupinus	concinnus	concinnus	Lupinus concinnus subsp. concinnus
Fabaceae	Lupinus	concinnus	orcuttii	Lupinus concinnus var. orcuttii
Fabaceae	Lupinus	densiflorus		Lupinus densiflorus
Fabaceae	Lupinus	densiflorus	densiflorus	Lupinus densiflorus var. densiflorus
Fabaceae	Lupinus	densiflorus	palustris	Lupinus densiflorus var. palustris
Fabaceae	Lupinus	hirsutissimus		Lupinus hirsutissimus
Fabaceae	Lupinus	microcarpus		Lupinus microcarpus
Fabaceae				Lupinus microcarpus subsp. microcarpus
Fabaceae	Lupinus	microcarpus	densiflorus	Lupinus microcarpus var. densiflorus
Fabaceae				Lupinus microcarpus var. microcarpus
Fabaceae	Lupinus	subvexus	subvexus	Lupinus subvexus var. subvexus
Fabaceae	Lupinus	succulentus		Lupinus succulentus
Fabaceae	Lupinus	truncatus		Lupinus truncatus
Fabaceae				Lupinus umbellatus subsp. umbellatus
Fabaceae	Lysiloma	candidum		Lysiloma candidum
Fabaceae	Medicago	polymorpha		Medicago polymorpha
Fabaceae	Medicago	polymorpha	brevispina	Medicago polymorpha var. brevispina
Fabaceae				Medicago polymorpha var. polymorpha
Fabaceae	Medicago	sativa		Medicago sativa
Fabaceae	Melilotus	albus		Melilotus albus
Fabaceae	Melilotus	indicus		Melilotus indicus
Fabaceae	Parkinsonia	florida		Parkinsonia florida
Fabaceae	Pickeringia	montana		Pickeringia montana
Fabaceae	Pickeringia	montana	montana	Pickeringia montana var. montana
Fabaceae	Pisum	sativum		Pisum sativum
Fabaceae	Robinia			Robinia
Fabaceae	Robinia	pseudoacacia		Robinia pseudoacacia
Fabaceae	Spartium	junceum		Spartium junceum
Fabaceae				Syrmatium dendroideum
Fabaceae	Trifolium			Trifolium
Fabaceae	Trifolium	albopurpureum		Trifolium albopurpureum
Fabaceae	Trifolium	amplectens		Trifolium amplectens
Fabaceae				Trifolium amplectens var. amplectens
Fabaceae	Trifolium	amplectens	truncatum	Trifolium amplectens var. truncatum
Fabaceae	Trifolium	barbigerum		Trifolium barbigerum
Fabaceae	Trifolium	ciliolatum		Trifolium ciliolatum
Fabaceae	Trifolium	depauperatum		Trifolium depauperatum
Fabaceae				Trifolium depauperatum var.
Fabaceae	Trifolium	depauperatum	amplectens	Trifolium depauperatum var. amplectens
Fabaceae	Trifolium	depauperatum	truncatum	Trifolium depauperatum var. truncatum
Fabaceae	Trifolium	fucatum		Trifolium fucatum
